순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"1","소년이 온다 :한강 장편소설 ","지은이: 한강","창비","2014","","9788936434120","03810","813.62","16,011",
"2","작별하지 않는다 :한강 장편소설 ","지은이: 한강","문학동네","2021","","9788954682152","03810","813.62","14,007",
"3","불편한 편의점 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2021","","9791161571188","03810","813.7","10,726",
"4","채식주의자:한강 연작소설","한강","창비","2007","","9788936433598","03810","813.6","10,078",
"5","채식주의자 :한강 장편소설 ","지은이: 한강","창비","2022","","9788936434595","03810","813.62","8,130",
"6","이처럼 사소한 것들 :클레어 키건 소설 ","지은이: 클레어 키건 ;옮긴이: 홍한별","다산북스","2023","","9791130646381","03840","843.6","7,867",
"7","희랍어 시간 :한강 장편소설 ","지은이: 한강","문학동네","2011","","9788954616515","03810","813.62","7,704",
"8","불편한 편의점 :김호연 장편소설","지은이: 김호연","나무옆의자","2022","2","9791161571379","03810","813.7","7,677",
"9","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","14","9791168416369","77810","810","7,426",
"10","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","3","9791164134267","77810","810","7,395",
"11","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","10","9791168411685","77810","810","7,384",
"12","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","8","9791164138197","77810","810","7,381",
"13","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","77810","810","7,375",
"14","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","13","9791168415232","77810","810","7,368",
"15","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","12","9791168414471","77810","810","7,298",
"16","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","15","9791168417199","77810","810","7,296",
"17","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","5","9791164135592","77810","810","7,283",
"18","이중 하나는 거짓말 :김애란 장편소설 ","지은이: 김애란","문학동네","2024","","9791141601300","03810","813.7","7,280",
"19","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","4","9791164134847","77810","810","7,240",
"20","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","9","9791164139897","77810","810","7,194",
"21","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","7","9791164137527","77810","810","7,166",
"22","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","16","9791168418011","77810","810","7,111",
"23","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","6","9791164136261","77810","810","7,032",
"24","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","1","9791164131686","77810","810","7,027",
"25","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","77810","810","7,003",
"26","흰 :한강 소설 ","지은이: 한강","문학동네","2018","","9788954651134","03810","813.62","6,777",
"27","바람이 분다, 가라 :한강 장편소설 ","한강","문학과지성사","2010","","9788932020006","03810","813.62","6,608",
"28","홍학의 자리 :정해연 장편소설 ","지은이: 정해연","문학동네","2021","","9788954681155","03810","813.7","6,521",
"29","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","17","9791168418844","77810","810","6,479",
"30","모순 :양귀자 장편소설 ","지은이: 양귀자","쓰다","2013","","9788998441012","03810","813.62","6,391",
"31","달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ","지은이: 이미예","팩토리나인","2020","","9791165341909","03810","813.7","6,332",
"32","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","1","9788936447694","74810","813.7","6,250",
"33","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","77400","400","6,232",
"34","마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ","강용수 지음","유노콘텐츠그룹","2023","","9791192300818","03160","165.47","6,211",
"35","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","9","9791168415409","77400","400","6,165",
"36","영원한 천국 :정유정 장편소설 ","지은이: 정유정","은행나무","2024","","9791167374561","03810","813.7","6,111",
"37","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","77400","400","6,008",
"38","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","77400","400","6,003",
"39","아버지의 해방일지 :정지아 장편소설 ","지은이: 정지아","창비","2022","","9788936438838","03810","813.62","5,985",
"40","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","77400","400","5,975",
"41","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","10","9791168416598","77400","400","5,950",
"42","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","11","9791168414488","77400","400","5,942",
"43","나의 돈키호테 :김호연 장편소설 ","지은이: 김호연","나무옆의자","2024","","9791161571768","03810","813.7","5,941",
"44","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","7","9788936448752","73810","813.7","5,927",
"45","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","5","9791168410848","77400","400","5,894",
"46","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","7","9791168413931","77400","400","5,890",
"47","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","2","9788936447861","74810","813.7","5,876",
"48","퓨처 셀프 :현재와 미래가 달라지는 놀라운 혁명 ","벤저민 하디 지음 ;최은아 옮김","상상스퀘어","2023","","9791192389325","03320","325.211","5,778",
"49","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","4","9791164138982","77400","400","5,762",
"50","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","6","9788936448523","73810","813.7","5,751",
"51","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","74810","813.5","5,733",
"52","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","4","9791168416314","74810","813.5","5,732",
"53","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","8","9791168414822","77400","400","5,721",
"54","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","10","9788934905851","77400","400","5,715",
"55","두 사람의 인터내셔널 :김기태 소설 ","지은이: 김기태","문학동네","2024","","9788954697941","03810","813.7","5,663",
"56","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","2","9788934980254","77400","400","5,661",
"57","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","3","9788936448011","74810","813.7","5,659",
"58","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","5","9788936448370","73810","813.7","5,641",
"59","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","03810","813.7","5,610",
"60","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","8","9788934979814","77400","400","5,598",
"61","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","2","9791168413955","74810","813.5","5,584",
"62","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","1","9788934989257","77400","400","5,581",
"62","대온실 수리 보고서 :김금희 장편소설 ","지은이: 김금희","창비","2024","","9788936439651","03810","813.7","5,581",
"64","나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ","패트릭 브링리 지음 ;조현주 옮김","웅진씽크빅","2023","","9788901276533","03840","848","5,571",
"65","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","3","9791168415034","74810","813.5","5,568",
"66","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","9","9788934946625","77400","400","5,511",
"67","당신이 누군가를 죽였다 ","지은이: 히가시노 게이고 ;옮긴이: 최고은","교보문고","2024","","9791170611561","03830","833.6","5,500",
"68","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","7","9788934944546","77400","400","5,454",
"69","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","5","9791168415331","74810","813.5","5,423",
"70","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","74810","813.7","5,380",
"71","고전이 답했다 :마땅히 살아야 할 삶에 대하여 ","고명환 지음","라곰","2024","","9791193939130","03320","199.1","5,350",
"72","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","11","9788934935193","77400","400","5,320",
"73","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","03400","490.99","5,218",
"74","언젠가 우리가 같은 별을 바라본다면 :차인표 장편소설 ","글: 차인표","해결책","2021","","9791191061048","43810","813.7","5,210",
"75","지구 끝의 온실 :김초엽 장편소설 ","지은이: 김초엽","Giant Books(자이언트북스)","2021","","9791191824001","03810","813.7","5,198",
"76","흔한남매 과학 탐험대 3 : 인체","흔한남매 (원작), 이재국, 이현진, 서지은 (글), 김덕영 (그림), 정현철, 김희목, 권경아, 최진수, 박준건 (기획)","주니어김영사","2021","3","9788934983439","","","5,188",
"77","아몬드손원평 장편소설","손원평","창비","2017","","9788936434267","03810","813.7","5,179",
"78","도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ","요한 하리 지음 ;김하현 옮김","어크로스(어크로스출판그룹)","2023","","9791167740984","03180","181.27","5,167",
"79","순례 주택 :유은실 소설 ","지은이: 유은실","비룡소","2021","","9788949123493","44800","813.7","5,150",
"79","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","1","9791190409124","74810","813.7","5,150",
"81","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","12","9791168417984","77490","472","5,148",
"82","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","1","9791195794799","74910","911","5,143",
"83","흔한남매 과학 탐험대 5 : 물리 1","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","5","9788934940753","","","5,100",
"84","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","1","9791168415577","77810","810","5,084",
"85","(흔한남매) 별난 세계 여행","흔한남매 원작 ;정주연 그림","미래엔","2023","1","9791168415355","74810","980.2","5,069",
"86","흔한남매 과학 탐험대 4 : 물질","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 최진수 (감수), 정현철, 김희목, 권경아, 최진수 (기획)","주니어김영사","2022","4","9788934930549","","","5,067",
"87","죽이고 싶은 아이 :이꽃님 장편소설 ","지은이: 이꽃님","우리학교","2021","","9791190337755","43810","813.7","5,038",
"88","죽이고 싶은 아이 :이꽃님 장편소설","지은이: 이꽃님","우리학교","2024","2","9791167552723","44810","813.7","5,037",
"89","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","10","9791168415539","77490","472","4,988",
"90","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","6","9791198511577","74810","813.7","4,981",
"91","메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ","글: 윤정은","북로망스","2023","","9791191891287","03810","813.7","4,974",
"92","즐거운 어른 :이옥선 산문 ","지은이: 이옥선","이야기장수","2024","","9791194184034","03810","818","4,954",
"93","흔한남매 과학 탐험대 6 : 물리 2","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","6","9788934946793","","","4,953",
"93","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","03810","813.7","4,953",
"95","맡겨진 소녀 :클레어 키건 소설 ","지은이: 클레어 키건 ;옮긴이: 허진","다산북스","2023","","9791130698199","03840","843.6","4,930",
"96","체리새우 :황영미 장편소설 ","지은이: 황영미","문학동네","2019","","9788954654753","03810","813.7","4,908",
"97","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","13","9791168418783","77490","472","4,899",
"98","흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ","원작: 흔한남매 ;그림: 유난희","미래엔","2022","","9791168410930","77810","810","4,893",
"99","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","11","9791168416840","77490","472","4,861",
"100","설민석의 한국사 대모험","글: 설민석,그림: 정현희","휴먼큐브","2017","2","9791196025809","74910","911","4,842",
"101","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","1","9791168413078","77030","388","4,818",
"102","세이노의 가르침 :피보다 진하게 살아라 ","세이노 지음","데이원","2023","","9791168473690","03190","325.211","4,799",
"103","(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ","코이케 류노스케 지음 ;박재현 옮김","콘텐츠그룹 포레스트","2024","","9791193506516","03100","224.2","4,777",
"104","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","03320","327.04","4,766",
"105","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","3","9791130640280","77700","710","4,764",
